期号,开奖时间,开奖结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,红球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,绿球,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1,2,3,4,5,6,7,8,9,10,11,12
2007001,2007-05-30(三),,,,,,,,,,,,,,,,,,,,,,22,,24,,,,,29,,31,,,,35,,,,4,,,,,,,11,
2007002,2007-06-02(六),,,,,,,,,,,,,,,15,,,,,,,22,,,,,,,,,31,,,34,35,,,,,5,,,,,,,12
2007003,2007-06-04(一),,,3,4,,,,,,,,,,,,,,18,,,,,23,,,,,,,,,32,,,,1,,,,,6,,,,,,
2007004,2007-06-06(三),,,,,,6,,,,10,,,,,,16,17,,,,,,,,25,,,,,,,,,,,,2,,4,,,,,,,,
2007005,2007-06-09(六),1,,,,,,,,9,,,,,,,,,,19,20,,,,,,,,,,30,,,,,,,2,,,,,,,,,11,
2007006,2007-06-11(一),1,,,,,,,,,,,,,,,16,,,,20,,,23,,,,,28,,,,,,,,,,3,,,6,,,,,,
2007007,2007-06-13(三),,,,,,,,,,,,,,14,,16,,,,,,,,,25,26,,,,,,,,,35,,,,4,,,,,9,,,
2007008,2007-06-16(六),,2,,,,,,8,,,11,,,,,,,,,,21,,23,,,,,,,,,,,,,,,,4,,,7,,,,,
2007009,2007-06-18(一),1,,3,,,,,,9,,,,,,,,,,19,,,,,,,,,,,,,,,34,,,,,,,,,,9,,,12
2007010,2007-06-20(三),,,,,,6,,8,,,,,,,,,,18,,,,,,,,,,,29,,,,,34,,,,,,,,,,9,,11,
2007011,2007-06-23(六),,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,32,33,34,35,,,,,,,,,9,10,,
2007012,2007-06-25(一),,,3,,,,,,,,,12,,,15,,,,,,,,,,,,,,29,,,,,34,,,,,,,,7,,,,11,
2007013,2007-06-27(三),,,,,,,,,,,,12,,,,,17,,,,,,,,,,27,,29,,,,,34,,,,,,,6,,,9,,,
2007014,2007-06-30(六),1,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,29,,,32,,,,,,,,,6,7,,,,,
2007015,2007-07-02(一),,2,,,,,,8,,,,12,13,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12
2007016,2007-07-04(三),1,,,,,,,,,,,,,14,,,,,19,,,,,24,,,,,,,31,,,,,,,3,,,,,,,,,12
2007017,2007-07-07(六),,,,,,,,,,,,,13,14,,,,,,,,,,,,,,,29,,,32,,34,,,,3,,,,,,,,,12
2007018,2007-07-09(一),,,3,4,,,,,,,,,,,,16,,,,,,,23,,,,,28,,,,,,,,,,,,,6,,,9,,,
2007019,2007-07-11(三),,,3,,,6,,,,,,,,,,,17,,,,,22,23,,,,,,,,,,,,,,,,4,,6,,,,,,
2007020,2007-07-14(六),,2,,,,6,,,,,11,12,,,,,,18,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,12
2007021,2007-07-16(一),,2,,4,,,,,,,,,,,,,,,,,,,,24,,,,,29,,,,33,,,1,2,,,,,,,,,,
2007022,2007-07-18(三),,,,,,,,8,,10,,12,,,,,,,,,,,23,,25,,,,,,,,,,,,,3,,,,,,,10,,
2007023,2007-07-21(六),,,,,,,,8,,10,,,,,,,,,,,,,23,,,,,,,,,32,,34,,,,,,,,,8,,10,,
2007024,2007-07-23(一),,,,,,6,,,,,,,,,,16,,,,20,,,,,25,,,,,,31,,,,,,,,4,,,,,9,,,
2007025,2007-07-25(三),,,,,,,,,,,,,,,,,,,,,,22,,24,,26,27,,,,,,,34,,,2,,,,,,,,10,,
2007026,2007-07-28(六),,,,,5,,,,9,,,,13,,,,,,,,,,,,,,,,,,,,33,,35,1,,,,,,,8,,,,
2007027,2007-07-30(一),,2,3,,,,,,,10,,,,,,,,,19,,,,,,,,27,,,,,,,,,,,,,,6,,,,10,,
2007028,2007-08-01(三),,,,,,,,,,,,,,,,,,,,20,,,,,,26,,,,30,,,,34,35,,,3,,,,,,,10,,
